,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,Date
28607,C538650,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,-1,2010-12-13 15:05:00,1.25,15311.0,United Kingdom,-1.25,2010-12-13
28958,C538670,22114,HOT WATER BOTTLE TEA AND SYMPATHY,-4,2010-12-13 16:19:00,3.95,13448.0,United Kingdom,-15.8,2010-12-13
28992,C538680,BANK CHARGES,Bank Charges,-1,2010-12-13 17:10:00,966.92,nan,United Kingdom,-966.92,2010-12-13
28993,C538681,M,Manual,-1,2010-12-13 17:12:00,316.3,nan,United Kingdom,-316.3,2010-12-13
28994,C538682,M,Manual,-1,2010-12-13 17:14:00,1130.9,nan,United Kingdom,-1130.9,2010-12-13
29015,C538684,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-14 09:26:00,12.75,16161.0,United Kingdom,-12.75,2010-12-14
29016,C538684,22946,WOODEN ADVENT CALENDAR CREAM,-1,2010-12-14 09:26:00,16.95,16161.0,United Kingdom,-16.95,2010-12-14
29017,C538684,22470,HEART OF WICKER LARGE,-1,2010-12-14 09:26:00,2.95,16161.0,United Kingdom,-2.95,2010-12-14
29019,C538686,22467,GUMBALL COAT RACK,-1,2010-12-14 09:49:00,2.55,nan,United Kingdom,-2.55,2010-12-14
29048,C538690,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-14 09:54:00,7.95,13802.0,United Kingdom,-7.95,2010-12-14
29049,C538690,22423,REGENCY CAKESTAND 3 TIER,-10,2010-12-14 09:54:00,10.95,13802.0,United Kingdom,-109.5,2010-12-14
29050,C538691,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,-2,2010-12-14 09:56:00,1.45,14176.0,United Kingdom,-2.9,2010-12-14
29051,C538692,22801,ANTIQUE GLASS PEDESTAL BOWL,-1,2010-12-14 09:58:00,3.75,13599.0,United Kingdom,-3.75,2010-12-14
29052,C538692,35001W,HAND OPEN SHAPE DECO.WHITE,-1,2010-12-14 09:58:00,3.49,13599.0,United Kingdom,-3.49,2010-12-14
29053,C538693,79164,BLACK WINE GLASS,-3,2010-12-14 09:59:00,1.65,16558.0,United Kingdom,-4.949999999999999,2010-12-14
29054,C538693,22960,JAM MAKING SET WITH JARS,-2,2010-12-14 09:59:00,4.25,16558.0,United Kingdom,-8.5,2010-12-14
29055,C538693,22942,CHRISTMAS LIGHTS 10 SANTAS ,-1,2010-12-14 09:59:00,8.5,16558.0,United Kingdom,-8.5,2010-12-14
29056,C538694,21531,RED RETROSPOT SUGAR JAM BOWL,-2,2010-12-14 10:00:00,2.55,16143.0,United Kingdom,-5.1,2010-12-14
29057,C538695,22900, SET 2 TEA TOWELS I LOVE LONDON ,-1,2010-12-14 10:01:00,2.95,14032.0,United Kingdom,-2.95,2010-12-14
29058,C538696,22768,FAMILY PHOTO FRAME CORNICE,-1,2010-12-14 10:02:00,8.5,13050.0,United Kingdom,-8.5,2010-12-14
29062,C538698,22952,60 CAKE CASES VINTAGE CHRISTMAS,-24,2010-12-14 10:21:00,0.55,13329.0,United Kingdom,-13.200000000000001,2010-12-14
29063,C538699,35400,WOODEN BOX ADVENT CALENDAR ,-4,2010-12-14 10:23:00,7.95,16422.0,United Kingdom,-31.8,2010-12-14
29064,C538700,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-14 10:25:00,12.75,16499.0,United Kingdom,-25.5,2010-12-14
29065,C538701,22644,CERAMIC CHERRY CAKE MONEY BANK,-1,2010-12-14 10:25:00,1.45,16863.0,United Kingdom,-1.45,2010-12-14
29066,C538702,84826,ASSTD DESIGN 3D PAPER STICKERS,-60,2010-12-14 10:28:00,0.85,13008.0,United Kingdom,-51.0,2010-12-14
29067,C538703,84949,SILVER HANGING T-LIGHT HOLDER,-3,2010-12-14 10:29:00,1.65,17519.0,United Kingdom,-4.949999999999999,2010-12-14
29068,C538704,22618,COOKING SET RETROSPOT,-2,2010-12-14 10:31:00,9.95,14206.0,United Kingdom,-19.9,2010-12-14
29069,C538705,21658,GLASS  BEURRE DISH,-1,2010-12-14 10:33:00,3.95,15093.0,United Kingdom,-3.95,2010-12-14
29070,C538705,22423,REGENCY CAKESTAND 3 TIER,-16,2010-12-14 10:33:00,10.95,15093.0,United Kingdom,-175.2,2010-12-14
29203,C538711,22460,EMBOSSED GLASS TEALIGHT HOLDER,-1,2010-12-14 10:50:00,1.25,15468.0,United Kingdom,-1.25,2010-12-14
29204,C538712,22941,CHRISTMAS LIGHTS 10 REINDEER,-1,2010-12-14 10:51:00,8.5,17677.0,United Kingdom,-8.5,2010-12-14
29205,C538713,22838,3 TIER CAKE TIN RED AND CREAM,-2,2010-12-14 10:53:00,14.95,16570.0,United Kingdom,-29.9,2010-12-14
29206,C538713,22179,SET 10 LIGHTS NIGHT OWL,-1,2010-12-14 10:53:00,6.75,16570.0,United Kingdom,-6.75,2010-12-14
29252,C538717,22457,NATURAL SLATE HEART CHALKBOARD ,-12,2010-12-14 11:09:00,2.95,18141.0,United Kingdom,-35.400000000000006,2010-12-14
29254,C538718,22178,VICTORIAN GLASS HANGING T-LIGHT,-48,2010-12-14 11:10:00,1.25,15602.0,United Kingdom,-60.0,2010-12-14
29256,C538720,71053,WHITE METAL LANTERN,-4,2010-12-14 11:11:00,3.75,17526.0,United Kingdom,-15.0,2010-12-14
29278,C538723,22333,RETROSPOT PARTY BAG + STICKER SET,-7,2010-12-14 11:12:00,1.65,12434.0,Australia,-11.549999999999999,2010-12-14
29279,C538723,22094,RED RETROSPOT TISSUE BOX,-5,2010-12-14 11:12:00,1.25,12434.0,Australia,-6.25,2010-12-14
29280,C538723,21217,RED RETROSPOT ROUND CAKE TINS,-1,2010-12-14 11:12:00,9.95,12434.0,Australia,-9.95,2010-12-14
29281,C538725,22680,FRENCH BLUE METAL DOOR SIGN 5,-20,2010-12-14 11:16:00,1.25,16955.0,United Kingdom,-25.0,2010-12-14
29282,C538726,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,-1,2010-12-14 11:18:00,2.95,13078.0,United Kingdom,-2.95,2010-12-14
29283,C538734,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-2,2010-12-14 11:24:00,16.95,16810.0,United Kingdom,-33.9,2010-12-14
29346,C538742,22386,JUMBO BAG PINK POLKADOT,-2,2010-12-14 11:26:00,1.95,13599.0,United Kingdom,-3.9,2010-12-14
29347,C538745,22142,CHRISTMAS CRAFT WHITE FAIRY ,-1,2010-12-14 11:27:00,1.45,16722.0,United Kingdom,-1.45,2010-12-14
29348,C538749,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-14 11:28:00,9.95,15713.0,United Kingdom,-9.95,2010-12-14
29355,C538755,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-14 11:30:00,12.75,16782.0,United Kingdom,-12.75,2010-12-14
29356,C538763,22107,PIZZA PLATE IN BOX,-8,2010-12-14 11:33:00,3.75,17722.0,United Kingdom,-30.0,2010-12-14
29357,C538768,22686,FRENCH BLUE METAL DOOR SIGN No,-12,2010-12-14 11:34:00,1.25,14829.0,United Kingdom,-15.0,2010-12-14
29358,C538768,84378,SET OF 3 HEART COOKIE CUTTERS,-24,2010-12-14 11:34:00,1.25,14829.0,United Kingdom,-30.0,2010-12-14
29359,C538771,21463,MIRRORED DISCO BALL ,-1,2010-12-14 11:35:00,4.95,13078.0,United Kingdom,-4.95,2010-12-14
29407,C538794,21876,POTTERING MUG,-1,2010-12-14 11:41:00,1.25,14907.0,United Kingdom,-1.25,2010-12-14
29436,C538798,22114,HOT WATER BOTTLE TEA AND SYMPATHY,-4,2010-12-14 11:45:00,3.95,17041.0,United Kingdom,-15.8,2010-12-14
29523,C538802,22960,JAM MAKING SET WITH JARS,-4,2010-12-14 11:54:00,4.25,17017.0,United Kingdom,-17.0,2010-12-14
29524,C538802,22198,LARGE POPCORN HOLDER ,-4,2010-12-14 11:54:00,1.45,17017.0,United Kingdom,-5.8,2010-12-14
29525,C538803,22508,DOORSTOP RETROSPOT HEART,-2,2010-12-14 11:55:00,3.75,16262.0,United Kingdom,-7.5,2010-12-14
29526,C538803,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-1,2010-12-14 11:55:00,4.25,16262.0,United Kingdom,-4.25,2010-12-14
29527,C538803,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-2,2010-12-14 11:55:00,9.95,16262.0,United Kingdom,-19.9,2010-12-14
29528,C538804,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-2,2010-12-14 11:56:00,0.85,13769.0,United Kingdom,-1.7,2010-12-14
29529,C538805,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-6,2010-12-14 11:57:00,4.95,14708.0,United Kingdom,-29.700000000000003,2010-12-14
29530,C538806,M,Manual,-1,2010-12-14 11:59:00,4.25,15181.0,United Kingdom,-4.25,2010-12-14
29676,C538813,21845,DAIRY MAID STRIPE MUG,-2,2010-12-14 12:27:00,2.95,14606.0,United Kingdom,-5.9,2010-12-14
29943,C538833,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,2010-12-14 13:05:00,2.55,14680.0,United Kingdom,-2.55,2010-12-14
29944,C538833,22383,LUNCH BAG SUKI  DESIGN ,-1,2010-12-14 13:05:00,1.45,14680.0,United Kingdom,-1.45,2010-12-14
29945,C538833,22356,CHARLOTTE BAG PINK POLKADOT,-2,2010-12-14 13:05:00,0.85,14680.0,United Kingdom,-1.7,2010-12-14
29946,C538833,20728,LUNCH BAG CARS BLUE,-1,2010-12-14 13:05:00,1.65,14680.0,United Kingdom,-1.65,2010-12-14
29947,C538833,21258,VICTORIAN SEWING BOX LARGE,-3,2010-12-14 13:05:00,10.95,14680.0,United Kingdom,-32.849999999999994,2010-12-14
29948,C538834,22618,COOKING SET RETROSPOT,-1,2010-12-14 13:06:00,9.95,14415.0,United Kingdom,-9.95,2010-12-14
29949,C538834,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-14 13:06:00,2.95,14415.0,United Kingdom,-2.95,2010-12-14
30078,C538847,85232B,SET OF 3 BABUSHKA STACKING TINS,-240,2010-12-14 13:27:00,4.95,17404.0,Sweden,-1188.0,2010-12-14
30555,538873,22734,amazon sales,20,2010-12-14 15:13:00,0.0,nan,United Kingdom,0.0,2010-12-14
30556,C538874,21877,HOME SWEET HOME MUG,-2,2010-12-14 15:16:00,1.25,12867.0,United Kingdom,-2.5,2010-12-14
30557,C538874,22244,3 HOOK HANGER MAGIC GARDEN,-1,2010-12-14 15:16:00,1.95,12867.0,United Kingdom,-1.95,2010-12-14
30558,C538874,22230,JIGSAW TREE WITH WATERING CAN,-1,2010-12-14 15:16:00,0.85,12867.0,United Kingdom,-0.85,2010-12-14
30559,C538874,82494L,WOODEN FRAME ANTIQUE WHITE ,-1,2010-12-14 15:16:00,2.95,12867.0,United Kingdom,-2.95,2010-12-14
30569,C538876,22272,FELTCRAFT DOLL MARIA,-1,2010-12-14 15:20:00,2.95,16499.0,United Kingdom,-2.95,2010-12-14
30603,538877,21479,WHITE SKULL HOT WATER BOTTLE ,1,2010-12-14 15:29:00,0.0,nan,United Kingdom,0.0,2010-12-14
30644,538877,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-14 15:29:00,0.0,nan,United Kingdom,0.0,2010-12-14
30657,538877,22356,CHARLOTTE BAG PINK POLKADOT,1,2010-12-14 15:29:00,0.0,nan,United Kingdom,0.0,2010-12-14
30972,C538882,21791,VINTAGE HEADS AND TAILS CARD GAME ,-12,2010-12-14 15:56:00,1.25,12797.0,Portugal,-15.0,2010-12-14
30973,C538882,21892,TRADITIONAL WOODEN CATCH CUP GAME ,-12,2010-12-14 15:56:00,1.25,12797.0,Portugal,-15.0,2010-12-14
30974,C538882,21891,TRADITIONAL WOODEN SKIPPING ROPE,-12,2010-12-14 15:56:00,1.25,12797.0,Portugal,-15.0,2010-12-14
31004,C538887,21843,RED RETROSPOT CAKE STAND,-1,2010-12-14 16:19:00,10.95,13198.0,United Kingdom,-10.95,2010-12-14
31019,C538889,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-3,2010-12-14 16:24:00,4.95,12797.0,Portugal,-14.850000000000001,2010-12-14
31074,C538891,21258,VICTORIAN SEWING BOX LARGE,-3,2010-12-14 16:39:00,10.95,16233.0,United Kingdom,-32.849999999999994,2010-12-14
31075,C538891,22509,SEWING BOX RETROSPOT DESIGN ,-4,2010-12-14 16:39:00,14.95,16233.0,United Kingdom,-59.8,2010-12-14
31134,C538897,D,Discount,-1,2010-12-15 09:14:00,5.76,16422.0,United Kingdom,-5.76,2010-12-15
31135,C538897,D,Discount,-1,2010-12-15 09:14:00,42.5,16422.0,United Kingdom,-42.5,2010-12-15
31136,C538898,37503,TEA TIME CAKE STAND IN GIFT BOX,-1,2010-12-15 09:20:00,10.75,15078.0,United Kingdom,-10.75,2010-12-15
31210,C538904,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-15 10:29:00,7.95,18168.0,United Kingdom,-7.95,2010-12-15
31464,C538971,22153,ANGEL DECORATION STARS ON DRESS,-48,2010-12-15 11:39:00,0.42,12865.0,Austria,-20.16,2010-12-15
31589,C538997,21533,RETROSPOT LARGE MILK JUG,-1,2010-12-15 12:06:00,4.25,14426.0,United Kingdom,-4.25,2010-12-15
31590,C538997,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-15 12:06:00,6.95,14426.0,United Kingdom,-6.95,2010-12-15
31663,C539003,D,Discount,-1,2010-12-15 12:35:00,26.93,14527.0,United Kingdom,-26.93,2010-12-15
31935,C539031,22847,BREAD BIN DINER STYLE IVORY,-1,2010-12-15 14:25:00,14.95,12647.0,Germany,-14.95,2010-12-15
31936,C539031,22203,MILK PAN RED RETROSPOT,-1,2010-12-15 14:25:00,3.75,12647.0,Germany,-3.75,2010-12-15
31937,C539031,22202,MILK PAN PINK POLKADOT,-1,2010-12-15 14:25:00,3.75,12647.0,Germany,-3.75,2010-12-15
31938,C539031,22199,FRYING PAN RED RETROSPOT,-4,2010-12-15 14:25:00,4.25,12647.0,Germany,-17.0,2010-12-15
31939,C539031,21731,RED TOADSTOOL LED NIGHT LIGHT,-1,2010-12-15 14:25:00,1.65,12647.0,Germany,-1.65,2010-12-15
31940,C539031,21452,TOADSTOOL MONEY BOX,-4,2010-12-15 14:25:00,2.95,12647.0,Germany,-11.8,2010-12-15
31964,C539035,22461,SAVOY ART DECO CLOCK,-1,2010-12-15 14:33:00,12.75,15535.0,United Kingdom,-12.75,2010-12-15
31982,C539037,84792,ENCHANTED BIRD COATHANGER 5 HOOK,-24,2010-12-15 14:42:00,3.81,12666.0,Israel,-91.44,2010-12-15
31983,C539037,22474,SPACEBOY TV DINNER TRAY,-32,2010-12-15 14:42:00,4.25,12666.0,Israel,-136.0,2010-12-15
32368,C539054,84949,SILVER HANGING T-LIGHT HOLDER,-2,2010-12-15 16:34:00,1.65,17044.0,United Kingdom,-3.3,2010-12-15
32369,C539054,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,2010-12-15 16:34:00,4.95,17044.0,United Kingdom,-14.850000000000001,2010-12-15
32370,C539054,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-1,2010-12-15 16:34:00,16.95,17044.0,United Kingdom,-16.95,2010-12-15
32371,C539055,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-12,2010-12-15 16:36:00,8.5,13829.0,United Kingdom,-102.0,2010-12-15
32373,C539057,21906,PHARMACIE FIRST AID TIN,-11,2010-12-15 16:40:00,6.75,18230.0,United Kingdom,-74.25,2010-12-15
32374,C539058,48129,DOORMAT TOPIARY,-10,2010-12-15 16:42:00,6.75,17633.0,United Kingdom,-67.5,2010-12-15
32375,C539059,22722,SET OF 6 SPICE TINS PANTRY DESIGN,-2,2010-12-15 16:43:00,3.95,14829.0,United Kingdom,-7.9,2010-12-15
32382,C539063,22191,IVORY DINER WALL CLOCK,-6,2010-12-15 16:50:00,8.5,15107.0,United Kingdom,-51.0,2010-12-15
32383,C539063,POST,POSTAGE,-1,2010-12-15 16:50:00,12.34,15107.0,United Kingdom,-12.34,2010-12-15
32384,C539065,84880,WHITE WIRE EGG HOLDER,-8,2010-12-15 16:52:00,5.95,14898.0,United Kingdom,-47.6,2010-12-15
32385,C539066,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-15 16:54:00,9.95,17912.0,United Kingdom,-9.95,2010-12-15
32386,C539066,47590A,BLUE HAPPY BIRTHDAY BUNTING,-1,2010-12-15 16:54:00,5.45,17912.0,United Kingdom,-5.45,2010-12-15
32387,C539067,22156,HEART DECORATION WITH PEARLS ,-5,2010-12-15 16:55:00,0.85,15194.0,United Kingdom,-4.25,2010-12-15
32388,C539067,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,-1,2010-12-15 16:55:00,16.95,15194.0,United Kingdom,-16.95,2010-12-15
32389,C539067,22865,HAND WARMER OWL DESIGN,-12,2010-12-15 16:55:00,2.1,15194.0,United Kingdom,-25.200000000000003,2010-12-15
32390,C539068,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,-36,2010-12-15 16:56:00,1.25,13266.0,United Kingdom,-45.0,2010-12-15
32391,C539069,22635,CHILDS BREAKFAST SET DOLLY GIRL ,-2,2010-12-15 16:57:00,9.95,12947.0,United Kingdom,-19.9,2010-12-15
32392,C539069,22634,CHILDS BREAKFAST SET SPACEBOY ,-1,2010-12-15 16:57:00,9.95,12947.0,United Kingdom,-9.95,2010-12-15
32397,C539071,22279,POCKET BAG BLUE PAISLEY RED SPOT,-1,2010-12-15 17:04:00,1.25,17820.0,United Kingdom,-1.25,2010-12-15
32398,C539071,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-15 17:04:00,12.75,17820.0,United Kingdom,-12.75,2010-12-15
32399,C539071,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-12-15 17:04:00,2.95,17820.0,United Kingdom,-2.95,2010-12-15
32400,C539072,22394,PAPERWEIGHT KINGS CHOICE ,-6,2010-12-15 17:05:00,2.55,15664.0,United Kingdom,-15.299999999999999,2010-12-15
32401,C539072,20718,RED RETROSPOT SHOPPER BAG,-10,2010-12-15 17:05:00,1.25,15664.0,United Kingdom,-12.5,2010-12-15
32402,C539073,POST,POSTAGE,-1,2010-12-15 17:08:00,3.5,12971.0,United Kingdom,-3.5,2010-12-15
32574,C539090,22766,PHOTO FRAME CORNICE,-1,2010-12-16 09:48:00,2.95,16996.0,United Kingdom,-2.95,2010-12-16
32630,C539097,22972,CHILDREN'S SPACEBOY MUG,-7,2010-12-16 10:28:00,1.65,12621.0,Germany,-11.549999999999999,2010-12-16
32660,C539100,22766,PHOTO FRAME CORNICE,-2,2010-12-16 10:30:00,2.95,16996.0,United Kingdom,-5.9,2010-12-16
32695,C539104,22662,LUNCH BAG DOLLY GIRL DESIGN,-3,2010-12-16 10:38:00,1.65,12494.0,France,-4.949999999999999,2010-12-16
32722,C539110,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-1,2010-12-16 11:10:00,4.95,16470.0,United Kingdom,-4.95,2010-12-16
32751,C539114,22667,RECIPE BOX RETROSPOT ,-3,2010-12-16 11:24:00,2.95,12494.0,France,-8.850000000000001,2010-12-16
32869,C539191,21822,GLITTER CHRISTMAS TREE WITH BELLS,-2,2010-12-16 11:59:00,1.95,17062.0,United Kingdom,-3.9,2010-12-16
32870,C539195,22942,CHRISTMAS LIGHTS 10 SANTAS ,-5,2010-12-16 12:05:00,8.5,12748.0,United Kingdom,-42.5,2010-12-16
33082,C539221,90185B,AMETHYST DIAMANTE EXPANDABLE RING,-3,2010-12-16 12:56:00,4.25,14911.0,EIRE,-12.75,2010-12-16
33083,C539221,90185C,BLACK DIAMANTE EXPANDABLE RING,-4,2010-12-16 12:56:00,4.25,14911.0,EIRE,-17.0,2010-12-16
33084,C539221,22592,CARDHOLDER HOLLY WREATH METAL,-1,2010-12-16 12:56:00,3.75,14911.0,EIRE,-3.75,2010-12-16
33085,C539221,22941,CHRISTMAS LIGHTS 10 REINDEER,-12,2010-12-16 12:56:00,8.5,14911.0,EIRE,-102.0,2010-12-16
33086,C539221,22942,CHRISTMAS LIGHTS 10 SANTAS ,-10,2010-12-16 12:56:00,8.5,14911.0,EIRE,-85.0,2010-12-16
33105,C539224,22656,VINTAGE BLUE KITCHEN CABINET,-1,2010-12-16 13:01:00,175.0,17377.0,United Kingdom,-175.0,2010-12-16
33254,C539244,21427,SKULLS STORAGE BOX SMALL,-1,2010-12-16 13:24:00,2.1,14606.0,United Kingdom,-2.1,2010-12-16
33396,C539251,48116,DOORMAT MULTICOLOUR STRIPE,-2,2010-12-16 14:15:00,7.95,17213.0,United Kingdom,-15.9,2010-12-16
33397,C539251,21485,RETROSPOT HEART HOT WATER BOTTLE,-2,2010-12-16 14:15:00,4.95,17213.0,United Kingdom,-9.9,2010-12-16
33417,C539253,22423,REGENCY CAKESTAND 3 TIER,-10,2010-12-16 14:19:00,10.95,17188.0,United Kingdom,-109.5,2010-12-16
33479,C539258,21258,VICTORIAN SEWING BOX LARGE,-2,2010-12-16 14:30:00,10.95,16233.0,United Kingdom,-21.9,2010-12-16
33499,C539260,21258,VICTORIAN SEWING BOX LARGE,-7,2010-12-16 14:32:00,10.95,15100.0,United Kingdom,-76.64999999999999,2010-12-16
33576,539263,22580,ADVENT CALENDAR GINGHAM SACK,4,2010-12-16 14:36:00,0.0,16560.0,United Kingdom,0.0,2010-12-16
33611,C539270,85040A,S/4 PINK FLOWER CANDLES IN BOWL,-7,2010-12-16 15:27:00,1.65,14777.0,United Kingdom,-11.549999999999999,2010-12-16
33612,C539270,22666,RECIPE BOX PANTRY YELLOW DESIGN,-1,2010-12-16 15:27:00,2.95,14777.0,United Kingdom,-2.95,2010-12-16
33613,C539271,21843,RED RETROSPOT CAKE STAND,-1,2010-12-16 15:28:00,10.95,14639.0,United Kingdom,-10.95,2010-12-16
33618,C539273,22760,"TRAY, BREAKFAST IN BED",-1,2010-12-16 15:30:00,12.75,13209.0,United Kingdom,-12.75,2010-12-16
33619,C539273,22791,T-LIGHT GLASS FLUTED ANTIQUE,-1,2010-12-16 15:30:00,1.25,13209.0,United Kingdom,-1.25,2010-12-16
33620,C539274,22456,NATURAL SLATE CHALKBOARD LARGE ,-2,2010-12-16 15:31:00,4.25,13408.0,United Kingdom,-8.5,2010-12-16
33627,C539276,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,-1,2010-12-16 15:36:00,2.55,16503.0,United Kingdom,-2.55,2010-12-16
33628,C539276,85135C,RED DRAGONFLY HELICOPTER,-1,2010-12-16 15:36:00,7.95,16503.0,United Kingdom,-7.95,2010-12-16
33629,C539277,22180,RETROSPOT LAMP,-3,2010-12-16 15:37:00,8.5,15777.0,United Kingdom,-25.5,2010-12-16
33630,C539278,22617,BAKING SET SPACEBOY DESIGN,-6,2010-12-16 15:39:00,4.95,18269.0,United Kingdom,-29.700000000000003,2010-12-16
33635,C539279,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2010-12-16 15:40:00,8.5,13267.0,United Kingdom,-17.0,2010-12-16
33685,C539284,22865,HAND WARMER OWL DESIGN,-12,2010-12-16 15:54:00,2.1,16770.0,United Kingdom,-25.200000000000003,2010-12-16
33699,C539287,85172,HYACINTH BULB T-LIGHT CANDLES,-80,2010-12-16 16:24:00,0.42,17655.0,United Kingdom,-33.6,2010-12-16
33700,C539287,85175,CACTI T-LIGHT CANDLES,-80,2010-12-16 16:24:00,0.42,17655.0,United Kingdom,-33.6,2010-12-16
33702,C539289,22960,JAM MAKING SET WITH JARS,-3,2010-12-16 16:30:00,4.25,18065.0,United Kingdom,-12.75,2010-12-16
33749,C539291,22963,JAM JAR WITH GREEN LID,-8,2010-12-16 16:42:00,0.85,18075.0,United Kingdom,-6.8,2010-12-16
33750,C539291,22178,VICTORIAN GLASS HANGING T-LIGHT,-3,2010-12-16 16:42:00,1.25,18075.0,United Kingdom,-3.75,2010-12-16
33862,C539301,22457,NATURAL SLATE HEART CHALKBOARD ,-12,2010-12-16 17:33:00,2.95,13496.0,United Kingdom,-35.400000000000006,2010-12-16
33863,C539302,22759,SET OF 3 NOTEBOOKS IN PARCEL,-12,2010-12-16 17:33:00,1.65,15392.0,United Kingdom,-19.799999999999997,2010-12-16
34291,C539329,20733,GOLD MINI TAPE MEASURE ,-300,2010-12-17 09:37:00,0.72,16013.0,United Kingdom,-216.0,2010-12-17
34292,C539329,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-500,2010-12-17 09:37:00,2.55,16013.0,United Kingdom,-1275.0,2010-12-17
34510,C539402,21845,DAIRY MAID STRIPE MUG,-14,2010-12-17 12:19:00,2.95,17315.0,United Kingdom,-41.300000000000004,2010-12-17
34511,C539402,22488,NATURAL SLATE RECTANGLE CHALKBOARD,-1,2010-12-17 12:19:00,1.65,17315.0,United Kingdom,-1.65,2010-12-17
34512,C539402,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-17 12:19:00,6.95,17315.0,United Kingdom,-6.95,2010-12-17
34591,C539409,POST,POSTAGE,-1,2010-12-17 12:58:00,18.0,12720.0,Germany,-18.0,2010-12-17
36165,C539438,22655,VINTAGE RED KITCHEN CABINET,-1,2010-12-17 15:11:00,295.0,16607.0,United Kingdom,-295.0,2010-12-17
36300,C539448,20802,SMALL GLASS SUNDAE DISH CLEAR,-36,2010-12-17 16:25:00,0.42,15157.0,United Kingdom,-15.12,2010-12-17
36301,C539448,20803,SMALL PINK GLASS SUNDAE DISH,-36,2010-12-17 16:25:00,0.42,15157.0,United Kingdom,-15.12,2010-12-17
37469,C539467,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-12-19 12:46:00,2.95,15044.0,United Kingdom,-2.95,2010-12-19
37470,C539467,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2010-12-19 12:46:00,5.95,15044.0,United Kingdom,-5.95,2010-12-19
37471,C539467,22801,ANTIQUE GLASS PEDESTAL BOWL,-1,2010-12-19 12:46:00,3.75,15044.0,United Kingdom,-3.75,2010-12-19
37738,C539476,22138,BAKING SET 9 PIECE RETROSPOT ,-1,2010-12-19 14:43:00,4.95,16686.0,United Kingdom,-4.95,2010-12-19
37878,C539486,22600,CHRISTMAS RETROSPOT STAR WOOD,-12,2010-12-20 08:27:00,0.85,18256.0,United Kingdom,-10.2,2010-12-20
37879,C539486,22603,CHRISTMAS RETROSPOT TREE WOOD,-11,2010-12-20 08:27:00,0.85,18256.0,United Kingdom,-9.35,2010-12-20
37880,C539486,22336,DOVE DECORATION PAINTED ZINC ,-23,2010-12-20 08:27:00,0.65,18256.0,United Kingdom,-14.950000000000001,2010-12-20
37881,C539486,22339,CHRISTMAS TREE PAINTED ZINC ,-24,2010-12-20 08:27:00,0.65,18256.0,United Kingdom,-15.600000000000001,2010-12-20
38261,539494,21479,?,752,2010-12-20 10:36:00,0.0,nan,United Kingdom,0.0,2010-12-20
38312,C539499,21231,SWEETHEART CERAMIC TRINKET BOX,-3,2010-12-20 11:01:00,1.25,15312.0,United Kingdom,-3.75,2010-12-20
38413,C539565,22649,STRAWBERRY FAIRY CAKE TEAPOT,-4,2010-12-20 11:56:00,4.25,14113.0,United Kingdom,-17.0,2010-12-20
38414,C539565,84406B,CREAM CUPID HEARTS COAT HANGER,-3,2010-12-20 11:56:00,2.75,14113.0,United Kingdom,-8.25,2010-12-20
38415,C539566,79000,MOROCCAN TEA GLASS,-3,2010-12-20 11:56:00,0.65,16705.0,United Kingdom,-1.9500000000000002,2010-12-20
