,,TotalAmount,TotalAmount,TotalAmount,Date,Date
14022.0,United Kingdom,440.0,440.0,440.0,2011-04-28,2011-04-28
14023.0,United Kingdom,584.0699999999999,273.14,310.93,2011-04-03,2011-12-02
14024.0,United Kingdom,327.7,65.25,262.45,2011-08-07,2011-08-10
14027.0,United Kingdom,104.82,104.82,104.82,2011-10-10,2011-10-10
14029.0,United Kingdom,467.65999999999997,165.20000000000002,302.46,2011-07-18,2011-10-07
14030.0,United Kingdom,2360.09,113.62,676.5,2010-12-08,2011-11-21
14031.0,United Kingdom,17286.86,132.0,2832.0,2010-12-02,2011-12-02
14032.0,United Kingdom,2975.59,102.72,315.56,2010-12-08,2011-12-07
14034.0,United Kingdom,651.82,177.91,473.91,2011-07-05,2011-11-17
14035.0,United Kingdom,1428.02,136.68,398.98,2011-02-15,2011-11-11
14036.0,United Kingdom,626.65,626.65,626.65,2011-02-28,2011-02-28
14037.0,United Kingdom,147.2,35.400000000000006,111.8,2010-12-10,2011-06-16
14038.0,United Kingdom,1560.38,370.1,716.32,2011-05-16,2011-09-22
14039.0,United Kingdom,152.2,152.2,152.2,2011-11-06,2011-11-06
14040.0,United Kingdom,3614.92,141.05,725.5600000000001,2011-01-12,2011-10-30
14041.0,United Kingdom,141.41,141.41,141.41,2011-03-18,2011-03-18
14044.0,United Kingdom,652.82,110.71,196.93,2011-02-03,2011-11-13
14045.0,United Kingdom,1659.75,326.4,925.35,2010-12-01,2011-08-22
14046.0,United Kingdom,154.99,154.99,154.99,2011-02-28,2011-02-28
14047.0,United Kingdom,1308.6100000000001,9.3,351.15,2010-12-02,2011-12-01
14048.0,United Kingdom,409.93,409.93,409.93,2011-02-07,2011-02-07
14049.0,United Kingdom,5681.719999999999,226.93,2396.33,2011-01-26,2011-11-23
14050.0,United Kingdom,746.36,260.38,485.98,2011-08-25,2011-11-08
14051.0,United Kingdom,15610.390000000001,337.5,1203.9,2010-12-08,2011-12-09
14052.0,United Kingdom,225.36,225.36,225.36,2011-11-20,2011-11-20
14053.0,United Kingdom,260.25,106.0,154.25,2011-07-03,2011-08-07
14054.0,United Kingdom,92.46,92.46,92.46,2011-10-05,2011-10-05
14055.0,United Kingdom,725.6400000000001,725.6400000000001,725.6400000000001,2011-08-25,2011-08-25
14056.0,United Kingdom,8214.65,6.300000000000001,659.08,2011-02-28,2011-12-08
14057.0,United Kingdom,6217.96,99.0,925.92,2010-12-14,2011-11-16
14059.0,United Kingdom,183.6,183.6,183.6,2011-03-18,2011-03-18
14060.0,United Kingdom,6140.42,140.0,738.58,2010-12-02,2011-12-05
14062.0,United Kingdom,10464.85,317.26,1708.68,2010-12-10,2011-11-30
14064.0,United Kingdom,1353.74,185.15,375.35,2011-03-10,2011-11-10
14066.0,United Kingdom,152.55,152.55,152.55,2011-03-18,2011-03-18
14067.0,United Kingdom,374.7,150.03,224.67,2011-09-04,2011-10-07
14068.0,United Kingdom,265.85,265.85,265.85,2011-01-23,2011-01-23
14071.0,United Kingdom,1438.82,131.41,341.24,2011-03-20,2011-12-06
14073.0,United Kingdom,151.04,151.04,151.04,2011-11-07,2011-11-07
14075.0,United Kingdom,942.26,307.92,317.56,2011-03-23,2011-12-05
14076.0,United Kingdom,122.47,122.47,122.47,2011-08-02,2011-08-02
14077.0,United Kingdom,499.42,56.3,132.72,2011-03-10,2011-10-30
14078.0,United Kingdom,1049.3700000000001,111.29,243.93,2010-12-01,2011-08-30
14079.0,United Kingdom,375.1,375.1,375.1,2011-08-07,2011-08-07
14080.0,United Kingdom,45.6,45.6,45.6,2011-11-07,2011-11-07
14081.0,United Kingdom,934.52,423.52,511.0,2010-12-05,2011-02-10
14082.0,United Kingdom,182.25,182.25,182.25,2010-12-10,2010-12-10
14083.0,United Kingdom,1018.4300000000001,14.4,446.57,2010-12-03,2011-12-05
14085.0,United Kingdom,4448.54,147.95,491.24,2010-12-06,2011-12-07
14087.0,United Kingdom,194.42,194.42,194.42,2011-12-07,2011-12-07
14088.0,United Kingdom,50491.81,33.16,10584.77,2011-01-21,2011-11-29
14089.0,United Kingdom,161.0,161.0,161.0,2011-10-14,2011-10-14
14090.0,United Kingdom,76.32000000000001,76.32000000000001,76.32000000000001,2011-01-19,2011-01-19
14092.0,United Kingdom,4076.91,238.2,625.86,2010-12-16,2011-12-02
14093.0,United Kingdom,442.85,442.85,442.85,2011-11-27,2011-11-27
14096.0,United Kingdom,65164.79,21.84,8935.98,2011-08-30,2011-12-05
14098.0,United Kingdom,147.35,147.35,147.35,2011-11-03,2011-11-03
14099.0,United Kingdom,3104.17,200.59,403.81,2010-12-20,2011-11-23
14100.0,United Kingdom,194.9,194.9,194.9,2011-07-25,2011-07-25
14101.0,United Kingdom,5976.79,751.5999999999999,1224.6,2011-01-17,2011-09-27
14102.0,United Kingdom,1360.28,118.5,421.1,2011-10-26,2011-12-04
14104.0,United Kingdom,216.21,104.95,111.26,2011-06-27,2011-07-08
14105.0,United Kingdom,1266.23,1266.23,1266.23,2011-04-14,2011-04-14
14107.0,United Kingdom,2703.23,241.29,625.1,2010-12-10,2011-10-19
14108.0,United Kingdom,597.91,291.33,306.58,2011-08-30,2011-11-09
14109.0,United Kingdom,144.2,144.2,144.2,2011-09-28,2011-09-28
14110.0,United Kingdom,5683.150000000001,41.6,904.26,2011-03-18,2011-12-06
14111.0,United Kingdom,692.85,48.3,397.35,2011-04-12,2011-11-25
14112.0,United Kingdom,2915.15,211.1,803.23,2011-03-09,2011-11-17
14113.0,United Kingdom,1840.42,433.5,492.88000000000005,2010-12-20,2011-12-06
14114.0,United Kingdom,386.53,191.4,195.13,2011-01-13,2011-03-11
14116.0,United Kingdom,1382.74,212.92,327.45,2011-08-10,2011-11-20
14117.0,United Kingdom,90.0,90.0,90.0,2011-07-19,2011-07-19
14121.0,United Kingdom,2780.15,233.1,1247.41,2011-10-11,2011-12-06
14124.0,United Kingdom,419.58,419.58,419.58,2011-09-16,2011-09-16
14125.0,United Kingdom,2740.43,333.92,1295.43,2011-09-22,2011-11-29
14126.0,United Kingdom,706.1300000000001,62.5,643.6300000000001,2011-11-29,2011-12-02
14127.0,United Kingdom,709.71,137.6,314.63,2011-02-02,2011-08-09
14128.0,United Kingdom,637.5,305.54,331.96,2011-03-29,2011-10-10
14129.0,United Kingdom,1123.8600000000001,152.57999999999998,367.33,2011-03-24,2011-12-08
14130.0,United Kingdom,483.86,483.86,483.86,2011-01-24,2011-01-24
14132.0,United Kingdom,3586.03,301.06,419.54,2011-06-09,2011-12-07
14133.0,United Kingdom,605.64,287.64,318.0,2011-01-28,2011-08-02
14135.0,United Kingdom,4690.31,139.9,748.86,2010-12-02,2011-12-08
14138.0,United Kingdom,982.3800000000001,344.17,638.21,2011-10-07,2011-12-08
14139.0,United Kingdom,415.82,415.82,415.82,2011-10-24,2011-10-24
14140.0,United Kingdom,935.05,394.06,540.99,2011-11-08,2011-12-06
14141.0,United Kingdom,915.1300000000001,199.47000000000003,285.16,2011-08-26,2011-12-07
14142.0,United Kingdom,311.81,311.81,311.81,2010-12-01,2010-12-01
14143.0,United Kingdom,115.8,115.8,115.8,2011-07-29,2011-07-29
14145.0,United Kingdom,3742.2,594.0,1128.6,2011-05-06,2011-10-24
14146.0,United Kingdom,4191.0,662.3,1241.43,2010-12-17,2011-12-01
14147.0,United Kingdom,483.40000000000003,182.8,300.6,2011-02-27,2011-09-22
14148.0,United Kingdom,157.2,157.2,157.2,2011-04-20,2011-04-20
14149.0,United Kingdom,446.62,446.62,446.62,2011-05-03,2011-05-03
14150.0,United Kingdom,658.6400000000001,306.18,352.46000000000004,2010-12-15,2011-11-04
14152.0,United Kingdom,621.29,306.78000000000003,314.51,2011-04-19,2011-09-25
14154.0,United Kingdom,1345.62,1345.62,1345.62,2011-04-14,2011-04-14
14155.0,United Kingdom,118.75,118.75,118.75,2011-03-18,2011-03-18
14156.0,EIRE,117379.63,322.2,16774.72,2010-12-03,2011-11-30
14157.0,United Kingdom,432.88,155.71,277.17,2011-02-27,2011-11-20
14158.0,United Kingdom,507.66,507.66,507.66,2011-10-30,2011-10-30
14159.0,United Kingdom,4693.01,178.97,847.8199999999999,2010-12-12,2011-11-20
14161.0,United Kingdom,1110.52,263.04,564.33,2010-12-05,2011-05-08
14162.0,United Kingdom,289.36,111.68,177.68,2011-02-20,2011-06-19
14163.0,United Kingdom,2445.91,337.92,909.6,2011-04-14,2011-09-13
14164.0,United Kingdom,1631.77,358.0,1273.77,2011-09-20,2011-09-30
14165.0,United Kingdom,122.54,122.54,122.54,2011-03-09,2011-03-09
14167.0,United Kingdom,574.84,110.65,172.74,2011-01-12,2011-10-31
14171.0,United Kingdom,363.79,363.79,363.79,2011-09-02,2011-09-02
14173.0,United Kingdom,450.84000000000003,114.04,207.03,2011-05-04,2011-11-29
14174.0,United Kingdom,134.46,134.46,134.46,2011-11-06,2011-11-06
14175.0,United Kingdom,3222.3,322.58,2016.31,2011-01-14,2011-10-11
14176.0,United Kingdom,576.9000000000001,121.20000000000002,296.15000000000003,2010-12-07,2011-02-15
14177.0,United Kingdom,559.41,118.08,250.0,2011-06-13,2011-09-14
14178.0,United Kingdom,1620.93,115.52,420.12,2011-06-10,2011-12-01
14179.0,United Kingdom,719.7800000000001,168.1,551.6800000000001,2011-10-18,2011-10-30
14180.0,United Kingdom,4748.52,97.5,382.1,2010-12-02,2011-11-29
14184.0,United Kingdom,452.89,452.89,452.89,2011-10-04,2011-10-04
14185.0,United Kingdom,197.65,197.65,197.65,2011-01-12,2011-01-12
14188.0,United Kingdom,2054.36,293.1,398.0,2011-02-02,2011-11-09
14189.0,United Kingdom,4654.08,214.71,467.5,2010-12-06,2011-12-07
14191.0,United Kingdom,4684.76,150.32,738.67,2011-05-03,2011-12-08
14193.0,United Kingdom,853.3900000000001,422.54,430.85,2011-03-15,2011-10-03
14194.0,United Kingdom,11349.52,446.31,1157.84,2011-02-04,2011-12-05
14195.0,United Kingdom,1012.0,183.6,828.4,2011-04-01,2011-05-22
14196.0,United Kingdom,335.52,335.52,335.52,2011-08-25,2011-08-25
14198.0,United Kingdom,701.4000000000001,171.85000000000002,183.3,2011-04-14,2011-11-21
14199.0,United Kingdom,185.4,185.4,185.4,2011-05-05,2011-05-05
14201.0,United Kingdom,747.44,46.84,187.98,2010-12-15,2011-10-10
14204.0,United Kingdom,161.03,161.03,161.03,2011-12-07,2011-12-07
14205.0,United Kingdom,466.70000000000005,222.9,243.8,2011-03-20,2011-11-23
14206.0,United Kingdom,328.16,328.16,328.16,2011-04-14,2011-04-14
14208.0,United Kingdom,151.74,151.74,151.74,2011-09-06,2011-09-06
14209.0,United Kingdom,2073.43,197.1,438.5,2011-01-11,2011-11-29
14210.0,United Kingdom,1905.8400000000001,304.95000000000005,363.66,2010-12-03,2011-08-26
14211.0,United Kingdom,2241.1,138.79,546.23,2011-02-17,2011-10-17
14212.0,United Kingdom,1070.48,1070.48,1070.48,2011-09-11,2011-09-11
14214.0,United Kingdom,1004.38,49.8,638.65,2011-03-07,2011-11-09
14215.0,United Kingdom,1789.72,160.05,596.0600000000001,2010-12-06,2011-11-28
14216.0,United Kingdom,1839.3,138.25,792.94,2011-11-02,2011-12-06
14217.0,United Kingdom,2004.98,69.7,258.17,2010-12-08,2011-12-08
14218.0,United Kingdom,169.48000000000002,169.48000000000002,169.48000000000002,2011-10-28,2011-10-28
14219.0,United Kingdom,89.94,89.94,89.94,2011-12-05,2011-12-05
14220.0,United Kingdom,632.4000000000001,312.98,319.42,2010-12-16,2011-04-06
14221.0,United Kingdom,3432.8,312.95,789.85,2011-01-04,2011-10-28
14222.0,United Kingdom,683.17,683.17,683.17,2011-06-15,2011-06-15
14223.0,United Kingdom,991.13,304.9,351.69,2011-03-20,2011-09-08
14224.0,United Kingdom,1050.12,186.62,368.18,2011-01-23,2011-08-21
14226.0,United Kingdom,2232.19,16.95,983.3,2011-03-15,2011-11-11
14227.0,United Kingdom,3350.96,282.94,1075.55,2011-02-28,2011-11-13
14229.0,United Kingdom,1547.2,305.16,785.0699999999999,2011-01-10,2011-10-19
14231.0,United Kingdom,925.71,307.76,309.0,2011-02-24,2011-06-09
14232.0,United Kingdom,2048.07,257.6,693.1800000000001,2011-03-20,2011-10-28
14233.0,United Kingdom,1462.72,100.85,530.1,2011-01-26,2011-10-21
14234.0,United Kingdom,775.4599999999999,82.56,369.78,2011-10-13,2011-11-17
14235.0,United Kingdom,3144.86,342.0,1538.31,2011-03-24,2011-09-25
14236.0,United Kingdom,490.86,189.3,301.56,2010-12-02,2011-09-20
14237.0,United Kingdom,161.0,161.0,161.0,2010-12-01,2010-12-01
14238.0,United Kingdom,146.85,146.85,146.85,2011-01-17,2011-01-17
14239.0,United Kingdom,2380.85,35.400000000000006,430.5,2011-01-27,2011-10-27
14240.0,United Kingdom,890.34,226.85,663.49,2011-04-28,2011-11-09
14241.0,United Kingdom,213.7,213.7,213.7,2011-06-09,2011-06-09
14242.0,United Kingdom,280.54999999999995,138.35,142.2,2011-01-18,2011-04-19
14243.0,United Kingdom,2588.77,107.42,373.27,2010-12-09,2011-12-01
14245.0,United Kingdom,1693.45,688.35,1005.1,2011-03-21,2011-05-04
14246.0,United Kingdom,1474.06,449.64,520.23,2011-04-08,2011-08-21
14247.0,United Kingdom,136.76999999999998,136.76999999999998,136.76999999999998,2011-03-06,2011-03-06
14248.0,United Kingdom,302.58,302.58,302.58,2011-01-25,2011-01-25
14250.0,United Kingdom,1904.05,675.22,1228.83,2011-09-11,2011-12-02
14251.0,United Kingdom,2879.7,301.14,1259.46,2011-10-13,2011-12-08
14256.0,United Kingdom,969.06,445.2,523.86,2010-12-10,2011-03-24
14257.0,United Kingdom,3099.7200000000003,306.33000000000004,1388.92,2011-01-25,2011-10-06
14258.0,United Kingdom,12669.98,798.4,3120.2200000000003,2011-01-06,2011-11-30
14259.0,United Kingdom,120.0,120.0,120.0,2011-07-21,2011-07-21
14261.0,United Kingdom,1163.45,219.7,943.75,2011-09-22,2011-10-20
14262.0,United Kingdom,2618.23,205.62,524.3,2011-04-13,2011-12-01
14264.0,United Kingdom,333.97,115.7,218.27,2011-04-08,2011-07-08
14265.0,Unspecified,530.1800000000001,252.05,278.13,2011-07-14,2011-08-22
14267.0,United Kingdom,1516.24,679.88,836.36,2011-03-24,2011-06-30
14270.0,United Kingdom,492.65,492.65,492.65,2011-01-12,2011-01-12
14271.0,United Kingdom,112.32,112.32,112.32,2011-04-28,2011-04-28
14272.0,United Kingdom,437.96000000000004,132.09,305.87,2011-03-30,2011-09-27
14273.0,United Kingdom,559.97,105.9,231.35,2011-04-11,2011-10-19
14276.0,United Kingdom,1119.74,341.2,399.34,2011-02-23,2011-09-02
14277.0,France,4216.2,499.4,2079.37,2011-05-11,2011-11-24
14280.0,United Kingdom,134.04,134.04,134.04,2011-05-27,2011-05-27
14282.0,United Kingdom,3729.34,87.3,664.0,2010-12-07,2011-12-06
14284.0,United Kingdom,595.25,252.1,343.15,2011-09-14,2011-11-09
14285.0,United Kingdom,1910.0100000000002,5.9,1247.53,2011-06-16,2011-11-18
14286.0,United Kingdom,4628.75,642.77,2050.08,2011-04-11,2011-11-16
14287.0,United Kingdom,176.63,83.28,93.35,2011-05-25,2011-12-01
14288.0,United Kingdom,426.6,426.6,426.6,2011-05-10,2011-05-10
14289.0,United Kingdom,911.26,78.48,322.24,2011-02-23,2011-12-01
14290.0,United Kingdom,2314.65,250.52,777.5600000000001,2010-12-13,2011-11-28
14291.0,United Kingdom,3883.25,325.32,984.88,2011-03-09,2011-12-08
14292.0,United Kingdom,4871.93,413.32,1465.0,2011-03-02,2011-12-02
14293.0,United Kingdom,1046.56,143.1,364.92,2010-12-06,2011-12-06
14295.0,United Kingdom,166.20000000000002,166.20000000000002,166.20000000000002,2011-10-30,2011-10-30
14297.0,United Kingdom,1305.33,14.85,580.38,2011-03-10,2011-11-22
14298.0,United Kingdom,51527.3,378.0,5590.67,2010-12-14,2011-12-01
14299.0,United Kingdom,3965.62,175.2,871.2,2010-12-09,2011-12-01
14300.0,United Kingdom,43.2,43.2,43.2,2011-11-21,2011-11-21
14301.0,United Kingdom,640.14,640.14,640.14,2011-08-14,2011-08-14
14304.0,United Kingdom,383.45,383.45,383.45,2011-05-01,2011-05-01
14305.0,United Kingdom,1858.96,4.25,1044.2,2011-07-27,2011-09-29
14306.0,United Kingdom,2093.32,390.38,1702.94,2011-09-15,2011-10-19
14307.0,United Kingdom,2995.7200000000003,424.42,783.11,2010-12-01,2011-09-12
14309.0,United Kingdom,2352.53,147.75,389.87,2010-12-16,2011-12-01
14311.0,United Kingdom,310.26,310.26,310.26,2011-04-11,2011-04-11
14312.0,United Kingdom,1611.5900000000001,126.82,564.4,2011-01-06,2011-10-24
14314.0,United Kingdom,120.0,120.0,120.0,2011-08-25,2011-08-25
14315.0,United Kingdom,2481.13,20.8,930.98,2011-03-18,2011-10-26
14317.0,United Kingdom,508.58,508.58,508.58,2011-10-06,2011-10-06
14320.0,United Kingdom,477.78999999999996,125.28,352.51,2011-01-11,2011-05-17
14321.0,United Kingdom,1530.75,273.72,329.94,2011-01-10,2011-11-29
14323.0,United Kingdom,605.06,299.82,305.24,2011-04-15,2011-08-17
14326.0,United Kingdom,183.85,183.85,183.85,2011-04-11,2011-04-11
14327.0,United Kingdom,311.65,311.65,311.65,2011-06-29,2011-06-29
14329.0,United Kingdom,5014.84,368.45,1547.58,2011-01-14,2011-11-22
14331.0,United Kingdom,462.66,79.0,383.66,2011-07-27,2011-08-07
14332.0,United Kingdom,866.3100000000001,119.04,466.3,2011-07-15,2011-11-17
14333.0,United Kingdom,415.2,415.2,415.2,2011-10-03,2011-10-03
14334.0,United Kingdom,2552.21,223.5,370.45,2010-12-16,2011-11-23
14335.0,Germany,468.26,109.01,359.25,2011-09-04,2011-11-23
14336.0,United Kingdom,1614.91,230.03,534.4200000000001,2011-03-08,2011-11-23
14338.0,United Kingdom,588.22,8.25,579.97,2011-05-27,2011-07-01
14339.0,United Kingdom,309.52,309.52,309.52,2011-04-11,2011-04-11
14340.0,United Kingdom,134.7,134.7,134.7,2011-05-05,2011-05-05
14341.0,United Kingdom,2182.2799999999997,115.08,1042.76,2011-01-25,2011-10-25
14342.0,United Kingdom,668.5600000000001,91.04,309.6,2011-05-13,2011-11-18
14344.0,United Kingdom,889.9300000000001,15.0,322.8,2010-12-06,2011-08-04
14345.0,United Kingdom,108.98,108.98,108.98,2011-11-01,2011-11-01
14346.0,United Kingdom,1021.5799999999999,262.44,759.14,2011-02-15,2011-08-11
14348.0,United Kingdom,409.57,409.57,409.57,2011-03-24,2011-03-24
14349.0,United Kingdom,133.5,133.5,133.5,2011-11-29,2011-11-29
14350.0,United Kingdom,282.93,282.93,282.93,2011-03-10,2011-03-10
14351.0,United Kingdom,51.0,51.0,51.0,2011-06-28,2011-06-28
14352.0,United Kingdom,1078.96,231.3,614.02,2011-03-11,2011-07-05
14353.0,United Kingdom,90.6,90.6,90.6,2011-05-08,2011-05-08
14354.0,United Kingdom,163.62,75.84,87.78,2011-11-09,2011-12-04
14355.0,United Kingdom,174.4,174.4,174.4,2010-12-09,2010-12-09
14356.0,United Kingdom,701.23,345.03000000000003,356.2,2011-09-19,2011-09-21
14357.0,United Kingdom,225.77,225.77,225.77,2011-10-27,2011-10-27
14359.0,United Kingdom,912.1800000000001,126.7,483.39,2011-09-13,2011-11-20
14360.0,United Kingdom,2128.23,210.95,1134.69,2011-09-06,2011-11-08
14362.0,United Kingdom,161.2,161.2,161.2,2011-11-17,2011-11-17
14364.0,United Kingdom,3717.3500000000004,315.6,1044.65,2011-05-12,2011-08-23
14367.0,United Kingdom,9261.52,314.85,1316.41,2011-03-08,2011-12-01
14368.0,United Kingdom,155.0,155.0,155.0,2011-01-24,2011-01-24
14371.0,United Kingdom,100.5,100.5,100.5,2011-02-17,2011-02-17
14373.0,United Kingdom,76.55,76.55,76.55,2010-12-16,2010-12-16
14375.0,United Kingdom,257.68,257.68,257.68,2011-06-07,2011-06-07
14377.0,United Kingdom,617.05,302.45,314.6,2011-03-22,2011-06-01
14379.0,United Kingdom,348.1,110.98,237.12,2011-02-17,2011-10-26
14381.0,United Kingdom,202.68,202.68,202.68,2011-10-18,2011-10-18
14382.0,United Kingdom,626.0699999999999,626.0699999999999,626.0699999999999,2011-11-13,2011-11-13
14383.0,United Kingdom,1247.69,242.09,675.72,2011-06-29,2011-11-01
14385.0,United Kingdom,202.10999999999999,55.16,75.35,2011-11-16,2011-11-30
14386.0,United Kingdom,142.4,142.4,142.4,2011-02-16,2011-02-16
14387.0,United Kingdom,1770.56,440.76,840.82,2011-08-22,2011-11-07
14388.0,United Kingdom,3212.84,312.8,471.98,2010-12-02,2011-11-29
14389.0,United Kingdom,1043.46,311.14,732.32,2011-06-02,2011-10-05
14390.0,United Kingdom,4652.82,223.7,974.81,2010-12-02,2011-11-29
14393.0,United Kingdom,67.95,67.95,67.95,2011-05-05,2011-05-05
14395.0,United Kingdom,3507.71,188.13,671.96,2010-12-02,2011-12-07
14396.0,United Kingdom,487.99,110.35,377.64,2010-12-03,2011-10-05
14397.0,United Kingdom,2612.96,45.0,300.38,2011-05-10,2011-12-07
14400.0,United Kingdom,574.7,574.7,574.7,2011-07-13,2011-07-13
14401.0,United Kingdom,4051.48,227.92,428.44,2010-12-15,2011-12-05
14403.0,United Kingdom,1475.81,185.31,790.7,2011-04-06,2011-08-01
14404.0,United Kingdom,1474.32,126.79999999999998,314.7,2010-12-05,2011-11-06
14406.0,United Kingdom,156.75,156.75,156.75,2011-08-12,2011-08-12
14407.0,United Kingdom,2157.73,15.0,645.5,2011-03-08,2011-08-24
14408.0,United Kingdom,2606.53,133.53,781.19,2011-03-20,2011-11-29
14409.0,United Kingdom,2059.4500000000003,115.72,1086.8300000000002,2010-12-06,2011-09-29
14410.0,United Kingdom,1105.07,91.48,215.07,2011-02-07,2011-09-08
14411.0,United Kingdom,1063.0,1063.0,1063.0,2011-02-02,2011-02-02
14412.0,United Kingdom,770.03,307.58,462.45,2011-09-28,2011-10-28
14413.0,United Kingdom,122.7,122.7,122.7,2010-12-12,2010-12-12
14414.0,United Kingdom,1496.98,125.04,309.14,2010-12-16,2011-09-09
14415.0,United Kingdom,5900.280000000001,111.18,1095.95,2010-12-14,2011-12-08
14416.0,United Kingdom,490.22,129.22,361.0,2011-10-28,2011-11-17
14418.0,United Kingdom,1937.25,150.44,897.35,2011-08-23,2011-12-06
14419.0,United Kingdom,1058.06,124.1,233.65,2010-12-10,2011-11-29
14420.0,United Kingdom,387.52,387.52,387.52,2011-09-01,2011-09-01
14421.0,United Kingdom,813.11,357.93,455.18,2011-05-12,2011-10-13
14422.0,United Kingdom,4263.64,330.55,1285.98,2011-03-17,2011-12-09
14423.0,United Kingdom,265.2,265.2,265.2,2011-05-05,2011-05-05
14424.0,United Kingdom,322.08,322.08,322.08,2011-11-22,2011-11-22
14426.0,United Kingdom,4481.67,324.7,794.41,2011-01-31,2011-11-16
14427.0,United Kingdom,363.34000000000003,41.6,321.74,2011-10-07,2011-10-20
14428.0,United Kingdom,1244.83,127.07,508.85,2011-01-18,2011-12-02
14431.0,United Kingdom,470.36,470.36,470.36,2011-02-10,2011-02-10
14432.0,United Kingdom,2255.51,109.8,718.78,2011-09-11,2011-11-30
14434.0,United Kingdom,1372.8,99.6,340.8,2011-09-28,2011-11-18
14436.0,United Kingdom,89.06,89.06,89.06,2011-09-02,2011-09-02
14437.0,United Kingdom,63.0,63.0,63.0,2010-12-09,2010-12-09
14438.0,United Kingdom,131.9,131.9,131.9,2011-02-06,2011-02-06
14439.0,Greece,2661.24,2661.24,2661.24,2011-01-24,2011-01-24
14440.0,United Kingdom,2357.6800000000003,181.7,656.7,2010-12-09,2011-12-01
14441.0,United Kingdom,1712.89,305.7,709.79,2011-03-29,2011-12-09
14442.0,Channel Islands,1589.8200000000002,675.58,914.24,2011-01-27,2011-05-19
14443.0,United Kingdom,1420.2,303.5,428.68,2010-12-06,2011-10-17
14446.0,United Kingdom,1039.58,157.27,382.18,2011-04-07,2011-12-09
14447.0,United Kingdom,1163.23,265.0,336.03000000000003,2011-03-04,2011-11-21
14448.0,United Kingdom,375.35,102.35,273.0,2010-12-10,2011-11-30
14449.0,United Kingdom,907.1,191.06,313.4,2010-12-02,2011-11-21
14450.0,United Kingdom,483.25,108.42,213.8,2011-01-23,2011-06-12
14451.0,United Kingdom,662.5899999999999,302.59,360.0,2011-05-29,2011-10-10
14452.0,United Kingdom,264.44,127.37,137.07,2011-09-07,2011-11-29
14453.0,United Kingdom,119.93,119.93,119.93,2011-06-02,2011-06-02
14456.0,United Kingdom,3062.4,142.38,818.93,2011-07-20,2011-12-04
14457.0,United Kingdom,113.64,113.64,113.64,2011-02-02,2011-02-02
14459.0,United Kingdom,1837.92,1837.92,1837.92,2011-07-07,2011-07-07
14460.0,United Kingdom,434.34,30.0,246.54,2011-02-02,2011-08-21
14461.0,United Kingdom,2103.06,356.84,969.99,2011-03-23,2011-07-14
14462.0,United Kingdom,2004.02,109.3,347.22,2011-01-04,2011-10-04
14463.0,United Kingdom,529.62,115.92,220.2,2011-05-18,2011-09-02
14465.0,United Kingdom,1058.62,461.32,597.3,2011-02-10,2011-04-07
14466.0,United Kingdom,2272.4,205.2,486.75,2010-12-02,2011-11-10
14467.0,United Kingdom,598.76,114.14,180.27,2011-01-31,2011-11-22
14470.0,United Kingdom,461.19,163.55,297.64,2011-02-25,2011-11-28
14472.0,United Kingdom,1936.8400000000001,115.45,402.47,2010-12-19,2011-08-28
14473.0,United Kingdom,234.34000000000003,85.0,149.34000000000003,2011-03-02,2011-09-26
14474.0,United Kingdom,547.66,547.66,547.66,2011-10-24,2011-10-24
14475.0,United Kingdom,925.85,303.68,315.62,2011-02-08,2011-09-29
14476.0,United Kingdom,215.7,215.7,215.7,2011-03-27,2011-03-27
14477.0,United Kingdom,1309.6,165.0,441.2,2011-02-15,2011-11-20
14479.0,United Kingdom,316.25,141.85,174.4,2010-12-09,2011-03-31
14480.0,United Kingdom,279.05,279.05,279.05,2011-11-28,2011-11-28
14481.0,United Kingdom,636.51,302.86,333.65,2011-02-25,2011-06-28
14482.0,United Kingdom,2068.15,227.85,613.98,2011-04-14,2011-11-21
14483.0,United Kingdom,137.1,137.1,137.1,2011-03-03,2011-03-03
14484.0,United Kingdom,321.92,321.92,321.92,2011-10-20,2011-10-20
14485.0,United Kingdom,165.75,165.75,165.75,2011-11-01,2011-11-01
14487.0,United Kingdom,1196.33,125.1,430.22,2010-12-06,2011-11-13
14488.0,United Kingdom,1064.28,1064.28,1064.28,2011-10-03,2011-10-03
14489.0,United Kingdom,463.38,463.38,463.38,2011-05-16,2011-05-16
14491.0,United Kingdom,340.93,127.2,213.73,2010-12-02,2011-06-17
14493.0,United Kingdom,2383.24,381.2,611.22,2011-07-07,2011-12-02
14494.0,United Kingdom,139.56,139.56,139.56,2011-11-14,2011-11-14
14495.0,United Kingdom,123.80000000000001,40.6,83.2,2011-08-10,2011-10-20
14496.0,United Kingdom,538.8100000000001,234.47,304.34000000000003,2010-12-01,2011-02-01
14497.0,United Kingdom,475.37,475.37,475.37,2011-02-03,2011-02-03
14498.0,United Kingdom,1957.32,147.02,675.53,2010-12-13,2011-10-28
14499.0,United Kingdom,815.3199999999999,126.02,444.36,2011-03-06,2011-11-13
14500.0,United Kingdom,356.85,21.0,284.85,2011-06-03,2011-09-12
14501.0,United Kingdom,251.21,66.93,184.28,2011-01-24,2011-06-09
14502.0,United Kingdom,2470.67,89.55,475.58,2011-01-30,2011-11-20
14503.0,United Kingdom,3543.26,337.75,1051.84,2011-06-14,2011-12-06
14504.0,United Kingdom,673.26,130.55,260.92,2011-03-06,2011-10-23
